,Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
699,Carlos Saldanha,84400000.0,1,$84.4,Ferdinand,84400000.0
700,Andy Samberg,865700000.0,13,$66.6,Hotel Transylvania 2,169700000.0
701,Adam Sandler,2828500000.0,33,$85.7,Hotel Transylvania 2,169700000.0
702,Rodrigo Santoro,584000000.0,9,$64.9,300,210600000.0
703,Susan Sarandon,1498600000.0,64,$23.4,Enchanted,127800000.0
704,Peter Sarsgaard,712000000.0,28,$25.4,Green Lantern,116600000.0
705,Akiva Schaffer,9600000.0,1,$9.6,Popstar,9600000.0
706,Taylor Schilling,81700000.0,6,$13.6,The Lucky One,60500000.0
707,Joseph Schneider,15000.0,1,$15.0k,I'm Not Jesus Mommy,15000.0
708,Rob Schneider,895100000.0,17,$52.7,Big Daddy,163500000.0
709,Matthias Schoenaerts,100900000.0,14,$7.2,Red Sparrow,46900000.0
710,Liev Schreiber,1187600000.0,34,$34.9,X-Men Origins: Wolverine,179900000.0
711,Amy Schumer,214400000.0,4,$53.6,Trainwreck,110200000.0
712,Jason Schwartzman,457200000.0,23,$19.9,Saving Mr. Banks,83300000.0
713,Arnold Schwarzenegger,1885000000.0,30,$62.8,Terminator 2,205900000.0
714,David Schwimmer,683000000.0,10,$68.3,Madagascar 3,216400000.0
715,Adam Scott,600000000.0,27,$22.2,Step Brothers,100500000.0
716,Steven Seagal,422900000.0,10,$42.3,Under Siege,83600000.0
717,Jason Segel,929400000.0,15,$62.0,Despicable Me,251500000.0
718,Andy Serkis,4357700000.0,26,$167.6,Star Wars: The Force Awakens,936700000.0
719,Chloe Sevigny,108800000.0,23,$4.7,Zodiac,33100000.0
720,Rufus Sewell,489100000.0,21,$23.3,Hercules,72700000.0
721,Amanda Seyfried,1088200000.0,27,$40.3,Les Miserables,148800000.0
722,Tupac Shakur,83100000.0,6,$13.8,Poetic Justice,27500000.0
723,Michael Shannon,509500000.0,23,$22.2,Man of Steel,291000000.0
724,Suraj Sharma,161400000.0,2,$80.7,Life of Pi,125000000.0
725,Charlie Sheen,905900000.0,31,$29.2,Platoon,138500000.0
726,Michael Sheen,1603100000.0,28,$57.3,Alice in Wonderland,334200000.0
727,Tye Sheridan,332800000.0,9,$37.0,X-Men: Apocalypse,155400000.0
728,M. Night Shyamalan,42300000.0,1,$42.3,Lady in the Water,42300000.0
729,Gabourey Sidibe,132500000.0,4,$33.1,Tower Heist,78000000.0
730,Sebastián Silva,79800.0,1,$79.8k,Nasty Baby,79800.0
