,Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
422,Diane Keaton,1307800000.0,38,$34.4,The Godfather,135000000.0
423,Michael Keaton,2618100000.0,39,$67.1,Toy Story 3,415000000.0
424,Minka Kelly,38400000.0,2,$19.2,The Roommate,37300000.0
425,Alex Kendrick,78200000.0,3,$26.1,Courageous,34500000.0
426,Anna Kendrick,1123300000.0,24,$46.8,Pitch Perfect 2,184300000.0
427,Irrfan Khan,1221500000.0,9,$135.7,Jurassic World,652300000.0
428,Nicole Kidman,2182600000.0,52,$42.0,Aquaman,335100000.0
429,Val Kilmer,1041300000.0,35,$29.8,Batman Forever,184000000.0
430,Joey King,752800000.0,12,$62.7,Oz The Great and Powerful,234900000.0
431,Ben Kingsley,2084500000.0,53,$39.3,Iron Man 3,409000000.0
432,Greg Kinnear,1154500000.0,36,$32.1,As Good as It Gets,148500000.0
433,Rory Kinnear,168500000.0,3,$56.2,Quantum of Solace,168400000.0
434,Taylor Kitsch,606300000.0,10,$60.6,X-Men Origins: Wolverine,179900000.0
435,Chris Klein,481600000.0,14,$34.4,American Pie 2,145100000.0
436,Kevin Kline,1496000000.0,40,$37.4,Beauty and the Beast,504000000.0
437,Keira Knightley,1626300000.0,28,$58.1,Dead Man's Chest,423300000.0
438,Beyonce Knowles,613100000.0,7,$87.6,Goldmember,213300000.0
439,Johnny Knoxville,936200000.0,18,$52.0,Ninja Turtles,191200000.0
440,Boris Kodjoe,370800000.0,9,$41.2,Ferdinand,84400000.0
441,John Krasinski,603300000.0,19,$31.8,A Quiet Place,188000000.0
442,Peter Krause,155600000.0,4,$38.9,Truman Show,125600000.0
443,Lenny Kravitz,996900000.0,4,$249.2,Catching Fire,424700000.0
444,Lisa Kudrow,688400000.0,21,$32.8,The Boss Baby,175000000.0
445,Mila Kunis,1249100000.0,20,$62.5,Oz The Great and Powerful,234900000.0
446,Olga Kurylenko,404500000.0,15,$27.0,Quantum of Solace,168400000.0
447,Ashton Kutcher,957400000.0,20,$47.9,Cheaper by the Dozen,138600000.0
448,Shia LaBeouf,2129400000.0,22,$96.8,Transformers 2,402100000.0
449,Diane Lane,2027800000.0,43,$47.2,Inside Out,356500000.0
450,Jessica Lange,410900000.0,13,$31.6,Tootsie,177200000.0
451,Frank Langella,679500000.0,32,$21.2,Superman Returns,200100000.0
452,Larry the Cable Guy,617000000.0,7,$88.1,Cars,244100000.0
453,Brie Larson,1377900000.0,11,$125.3,Avengers: Endgame,452400000.0
454,Ali Larter,552700000.0,12,$46.1,Legally Blonde,96500000.0
455,Sanaa Lathan,488800000.0,15,$32.6,Alien Vs. Predator,80300000.0
456,Queen Latifah,2049900000.0,31,$66.1,Ice Age 3,196600000.0
457,Melanie Laurent,263399999.99999997,8,$32.9,Inglourious Basterds,120500000.0
458,Hugh Laurie,890300000.0,17,$52.4,Monsters Vs. Aliens,198400000.0
459,Taylor Lautner,1482200000.0,8,$185.3,The Twilight Saga: Eclipse,300500000.0
460,Jude Law,2247400000.0,43,$52.3,Captain Marvel,416000000.0
461,Jennifer Lawrence,2533600000.0,20,$126.7,Catching Fire,424700000.0
462,Martin Lawrence,1294400000.0,25,$51.8,Wild Hogs,168300000.0
463,Sharon Leal,297300000.0,7,$42.5,Dreamgirls,103400000.0
464,Matt LeBlanc,73600000.0,3,$24.5,Lost in Space,69100000.0
465,Heath Ledger,955900000.0,15,$63.7,The Dark Knight,535200000.00000006
466,Christopher Lee,1666400000.0,8,$208.3,Revenge of the Sith,380300000.0
467,John Leguizamo,1982000000.0,53,$37.4,Ice Age 3,196600000.0
468,Melissa Leo,880300000.0,32,$27.5,The Equalizer 2,102100000.0
469,Tea Leoni,730200000.0,13,$56.2,Jurassic Park III,181200000.0
470,Logan Lerman,510000000.0,15,$34.0,Noah,101200000.0
471,Jared Leto,631100000.0,12,$52.6,Suicide Squad,325100000.0
472,Tracy Letts,138300000.0,7,$19.8,The Post,81900000.0
473,Zachary Levi,829500000.0,7,$118.5,Alvin and the Chipmunks 2,219600000.0
474,Jet Li,822200000.0,18,$45.7,Lethal Weapon 4,130400000.0
475,Matthew Lillard,716700000.0,25,$28.7,Scooby-Doo,153300000.0
476,Evangeline Lilly,1448200000.0,6,$241.4,Avengers: Endgame,452400000.0
477,Laura Linney,979300000.0,37,$26.5,Truman Show,125600000.0
478,Lucy Liu,1038300000.0,18,$57.7,Kung Fu Panda,215400000.0
479,Blake Lively,538600000.0,12,$44.9,Green Lantern,116600000.0
480,Ron Livingston,485800000.0,28,$17.3,The Conjuring,137400000.0
481,Lindsay Lohan,492400000.0,15,$32.8,Freaky Friday,110200000.0
482,Justin Long,1541000000.0,35,$44.0,Alvin and the Chipmunks 2,219600000.0
483,Nia Long,796500000.0,22,$36.2,Big Momma's House,117600000.0
484,Jennifer Lopez,1293700000.0,28,$46.2,Home,177400000.0
485,Rob Lowe,703600000.0,25,$28.1,The Spy Who Shagged Me,206000000.0
486,Jessica Lucas,229300000.0,5,$45.9,Cloverfield,80000000.0
487,Josh Lucas,791100000.0,24,$33.0,A Beautiful Mind,170700000.0
488,Derek Luke,582800000.0,17,$34.3,Captain America,176700000.0
489,Diego Luna,901900000.0,16,$56.4,Rogue One,532200000.00000006
490,Kellan Lutz,1537400000.0,17,$90.4,The Twilight Saga: Eclipse,300500000.0
491,David Lynch,956000.0,1,$956k,Lucky (2017),956000.0
492,Bernie Mac,989600000.0,14,$70.7,Ocean's Eleven,183400000.0
493,Seth MacFarlane,777600000.0,7,$111.1,Sing,270400000.0
494,Anthony Mackie,3045100000.0,37,$82.3,Avengers: Infinity War,678800000.0
495,William H. Macy,1246200000.0,39,$32.0,Jurassic Park III,181200000.0
496,Madonna,349300000.0,14,$24.9,League of Their Own,107500000.0
497,Virginia Madsen,476000000.0,31,$15.4,Sideways,71500000.0
498,Tobey Maguire,1537500000.0,14,$109.8,Spider-Man,403700000.0
499,John Malkovich,1585700000.0,51,$31.1,Transformers 3,352400000.0
500,Jena Malone,1321400000.0,24,$55.1,Catching Fire,424700000.0
501,Leslie Mann,1545800000.0,27,$57.3,Big Daddy,163500000.0
502,Thomas Mann,307400000.0,7,$43.9,Kong: Skull Island,168100000.0
503,Kate Mara,468200000.0,15,$31.2,The Martian,228400000.0
504,Rooney Mara,487300000.0,21,$23.2,Girl with the Dragon Tattoo,102500000.0
505,Brit Marling,17500000.0,8,$2.2,Arbitrage,7900000.0
506,James Marsden,1845400000.0,35,$52.7,X-Men: The Last Stand,234400000.0
507,Garry Marshall,67200000.0,1,$67.2,Race to Witch Mountain,67200000.0
508,Demetri Martin,17600000.0,4,$4.4,Taking Woodstock,7500000.0
509,Steve Martin,1786000000.0,37,$48.3,Home,177400000.0
510,Peter Mayhew,1997400000.0,4,$499.4,Star Wars: The Force Awakens,936700000.0
511,Rachel McAdams,1697400000.0,26,$65.3,Doctor Strange,232600000.0
512,Callan McAuliffe,56900000.0,3,$19.0,I Am Number Four,55100000.0
513,James McAvoy,1578000000.0,25,$63.1,The Chronicles of Narnia,291700000.0
514,Danny McBride,809700000.0,18,$45.0,Tropic Thunder,110500000.0
515,Melissa McCarthy,1194200000.0,16,$74.6,Bridesmaids,169100000.0
516,Matthew McConaughey,1962000000.0,41,$47.9,Sing,270400000.0
517,Ian McDiarmid,1474800000.0,4,$368.7,The Phantom Menace,474500000.0
518,Frances McDormand,1448000000.0,37,$39.1,Transformers 3,352400000.0
519,Ewan McGregor,2692800000.0,49,$55.0,Beauty and the Beast,504000000.0
520,Ian McKellen,3654400000.0,32,$114.2,Beauty and the Beast,504000000.0
521,Katherine McPhee,67099999.99999999,2,$33.6,The House Bunny,48200000.0
522,Leighton Meester,264000000.0,10,$26.4,Date Night,98700000.0
523,Carlos Mencia,57000000.0,2,$28.5,The Heartbreak Kid,36800000.0
524,Ben Mendelsohn,1986800000.0,28,$71.0,Rogue One,532200000.00000006
525,Eva Mendes,873400000.0,19,$46.0,Hitch,179500000.0
526,Scott Mescudi,43700000.0,3,$14.6,Need for Speed,43600000.0
527,Chris Messina,221200000.0,18,$12.3,Julie & Julia,94100000.0
528,Chrissy Metz,28800000.0,1,$28.8,Breakthrough,28800000.0
529,Breckin Meyer,433600000.0,12,$36.1,Garfield,75400000.0
530,Jonathan Rhys Meyers,336000000.0,18,$18.7,Mission: Impossible III,134000000.0
531,Alyson Michalka,100900000.0,3,$33.6,Easy A,58400000.0
532,Bette Midler,754600000.0,21,$35.9,First Wives Club,105500000.0
533,Mads Mikkelsen,1176500000.0,17,$69.2,Rogue One,532200000.00000006
534,Ezra Miller,759700000.0,12,$63.3,Fantastic Beasts and Where To Find Them,234000000.0
535,Nicki Minaj,137900000.0,2,$69.0,The Other Woman,83900000.0
536,Christopher Mintz-Plasse,1278600000.0,14,$91.3,How to Train Your Dragon,217600000.0
537,Helen Mirren,1630000000.0,49,$33.3,Monsters University,268500000.0
538,John Cameron Mitchell,9300000.0,3,$3.1,Band of the Hand,4900000.0
539,Radha Mitchell,600000000.0,24,$25.0,Olympus Has Fallen,98900000.0
540,Alfred Molina,1173800000.0,43,$27.3,Spider-Man 2,373600000.0
541,Jason Momoa,595100000.0,6,$99.2,Aquaman,335100000.0
542,Michelle Monaghan,939500000.0,21,$44.7,Mission: Impossible 6,220200000.0
543,Demi Moore,1025300000.0,32,$32.0,Ghost,217600000.0
544,Joel David Moore,915100000.0,14,$65.4,Avatar,760500000.0
545,Julianne Moore,2086600000.0,60,$34.8,Mockingjay Part 1,337100000.0
546,Mandy Moore,478500000.0,14,$34.2,Tangled,200800000.0
547,Michael Moore,149000.0,1,$149k,Michael Moore In TrumpLand,149000.0
548,Roger Moore,587800000.0,15,$39.2,The Cannonball Run,72200000.0
549,Chloe Moretz,800600000.0,23,$34.8,The Equalizer,101500000.0
550,Jeffrey Dean Morgan,289600000.0,14,$20.7,Watchmen,107500000.0
551,Tracy Morgan,583700000.0,15,$38.9,Rio 2,131500000.0
552,Viggo Mortensen,1615300000.0,30,$53.8,Return of the King,377800000.0
553,Carrie-Anne Moss,872500000.0,17,$51.3,The Matrix Reloaded,281600000.0
554,Elisabeth Moss,309300000.0,20,$15.5,Us,173300000.0
555,Bridget Moynahan,696600000.0,13,$53.6,"I, Robot",144800000.0
556,Carey Mulligan,321000000.0,12,$26.8,The Great Gatsby,144800000.0
557,Frankie Muniz,233000000.0,7,$33.3,Racing Stripes,49800000.0
558,Brittany Murphy,706900000.0,16,$44.2,Happy Feet,198000000.0
559,Cillian Murphy,902200000.0,19,$47.5,Inception,292600000.0
560,Eddie Murphy,3811100000.0,39,$97.7,Shrek 2,441200000.0
561,Bill Murray,2086500000.0,44,$47.4,The Jungle Book,364000000.0
562,Mike Myers,2427800000.0,16,$151.7,Shrek 2,441200000.0
563,Kumail Nanjiani,536700000.00000006,13,$41.3,Central Intelligence,127400000.0
564,Naturi Naughton,47200000.0,2,$23.6,Lottery Ticket,24700000.0
565,Liam Neeson,3067200000.0,69,$44.5,The Phantom Menace,474500000.0
566,Craig T. Nelson,1799300000.0,23,$78.2,Incredibles 2,608600000.0
567,Paul Newman,1082000000.0,20,$54.1,Cars,244100000.0
568,Kathryn Newton,321700000.0,6,$53.6,Bad Teacher,100300000.0
569,Thandie Newton,1117800000.0,24,$46.6,Mission: Impossible II,215400000.0
570,Mike Nichols,215000.0,1,$215k,The Designated Mourner,215000.0
571,Jack Nicholson,1796000000.0,34,$52.8,Batman,251200000.0
572,Leslie Nielsen,617900000.0,19,$32.5,Scary Movie 3,110000000.0
573,Leonard Nimoy,820300000.0,11,$74.6,Star Trek,257700000.0
574,Chuck Norris,279700000.0,17,$16.5,The Expendables 2,85000000.0
575,Dean Norris,110900000.0,8,$13.9,Death Wish (2018),34000000.0
576,Edward Norton,1103700000.0,26,$42.5,The Incredible Hulk,134800000.0
577,Lupita Nyong'o,2951900000.0,8,$369.0,Star Wars: The Force Awakens,936700000.0
578,Michael Nyqvist,319400000.0,10,$31.9,Mission: Impossible 4,209400000.0
579,Jack O'Connell,269200000.0,9,$29.9,Unbroken,115600000.0
580,Chris O'Donnell,779300000.0,19,$41.0,Batman Forever,184000000.0
581,Jason O'Mara,77300000.0,3,$25.8,Resident Evil: Extinction,50600000.0
582,Sophie Okonedo,125200000.0,8,$15.6,The Secret Life of Bees,37800000.0
583,Gary Oldman,3450300000.0,42,$82.2,The Dark Knight,535200000.00000006
584,Elizabeth Olsen,2257800000.0,17,$132.8,Avengers: Infinity War,678800000.0
585,Mary-Kate Olsen,63500000.0,4,$15.9,Beastly,27900000.0
586,Timothy Olyphant,711700000.0,23,$30.9,Live Free or Die Hard,134500000.0
587,Clive Owen,547700000.0,26,$21.1,Inside Man,88500000.0
588,David Oyelowo,622400000.0,16,$38.9,Rise of the Planet of the Apes,176800000.0
589,Lee Pace,1955400000.0,18,$108.6,Captain Marvel,416000000.0
590,Al Pacino,1457300000.0,39,$37.4,The Godfather,135000000.0
591,Ellen Page,730900000.0,17,$43.0,Inception,292600000.0
592,Adrianne Palicki,210400000.0,4,$52.6,G.I. Joe: Retaliation,122500000.0
593,Teresa Palmer,536100000.0,17,$31.5,Bedtime Stories,110100000.0
